Age,Gender,Period,Unemployed
16 to 19 years,Men,Jan-05,91000
16 to 19 years,Women,Jan-05,38000
16 to 19 years,Men,Feb-05,90000
16 to 19 years,Women,Feb-05,54000
16 to 19 years,Men,Mar-05,114000
16 to 19 years,Women,Mar-05,53000
16 to 19 years,Men,Apr-05,86000
16 to 19 years,Women,Apr-05,53000
16 to 19 years,Men,May-05,87000
16 to 19 years,Women,May-05,44000
16 to 19 years,Men,Jun-05,74000
16 to 19 years,Women,Jun-05,47000
16 to 19 years,Men,Jul-05,79000
16 to 19 years,Women,Jul-05,39000
16 to 19 years,Men,Aug-05,69000
16 to 19 years,Women,Aug-05,47000
16 to 19 years,Men,Sep-05,64000
16 to 19 years,Women,Sep-05,41000
16 to 19 years,Men,Oct-05,51000
16 to 19 years,Women,Oct-05,48000
16 to 19 years,Men,Nov-05,53000
16 to 19 years,Women,Nov-05,28000
16 to 19 years,Men,Dec-05,62000
16 to 19 years,Women,Dec-05,30000
16 to 19 years,Men,Jan-06,34000
16 to 19 years,Women,Jan-06,39000
16 to 19 years,Men,Feb-06,68000
16 to 19 years,Women,Feb-06,26000
16 to 19 years,Men,Mar-06,84000
16 to 19 years,Women,Mar-06,40000
16 to 19 years,Men,Apr-06,97000
16 to 19 years,Women,Apr-06,28000
16 to 19 years,Men,May-06,66000
16 to 19 years,Women,May-06,45000
16 to 19 years,Men,Jun-06,63000
16 to 19 years,Women,Jun-06,30000
16 to 19 years,Men,Jul-06,74000
16 to 19 years,Women,Jul-06,74000
16 to 19 years,Men,Aug-06,77000
16 to 19 years,Women,Aug-06,46000
16 to 19 years,Men,Sep-06,53000
16 to 19 years,Women,Sep-06,27000
16 to 19 years,Men,Oct-06,50000
16 to 19 years,Women,Oct-06,21000
16 to 19 years,Men,Nov-06,61000
16 to 19 years,Women,Nov-06,37000
16 to 19 years,Men,Dec-06,66000
16 to 19 years,Women,Dec-06,30000
16 to 19 years,Men,Jan-07,57000
16 to 19 years,Women,Jan-07,33000
16 to 19 years,Men,Feb-07,100000
16 to 19 years,Women,Feb-07,37000
16 to 19 years,Men,Mar-07,83000
16 to 19 years,Women,Mar-07,24000
16 to 19 years,Men,Apr-07,90000
16 to 19 years,Women,Apr-07,45000
16 to 19 years,Men,May-07,73000
16 to 19 years,Women,May-07,37000
16 to 19 years,Men,Jun-07,54000
16 to 19 years,Women,Jun-07,54000
16 to 19 years,Men,Jul-07,44000
16 to 19 years,Women,Jul-07,41000
16 to 19 years,Men,Aug-07,43000
16 to 19 years,Women,Aug-07,47000
16 to 19 years,Men,Sep-07,68000
16 to 19 years,Women,Sep-07,36000
16 to 19 years,Men,Oct-07,60000
16 to 19 years,Women,Oct-07,27000
16 to 19 years,Men,Nov-07,65000
16 to 19 years,Women,Nov-07,46000
16 to 19 years,Men,Dec-07,69000
16 to 19 years,Women,Dec-07,36000
16 to 19 years,Men,Jan-08,90000
16 to 19 years,Women,Jan-08,47000
16 to 19 years,Men,Feb-08,105000
16 to 19 years,Women,Feb-08,37000
16 to 19 years,Men,Mar-08,71000
16 to 19 years,Women,Mar-08,51000
16 to 19 years,Men,Apr-08,95000
16 to 19 years,Women,Apr-08,50000
16 to 19 years,Men,May-08,91000
16 to 19 years,Women,May-08,69000
16 to 19 years,Men,Jun-08,80000
16 to 19 years,Women,Jun-08,51000
16 to 19 years,Men,Jul-08,74000
16 to 19 years,Women,Jul-08,48000
16 to 19 years,Men,Aug-08,78000
16 to 19 years,Women,Aug-08,62000
16 to 19 years,Men,Sep-08,75000
16 to 19 years,Women,Sep-08,69000
16 to 19 years,Men,Oct-08,114000
16 to 19 years,Women,Oct-08,48000
16 to 19 years,Men,Nov-08,106000
16 to 19 years,Women,Nov-08,53000
16 to 19 years,Men,Dec-08,109000
16 to 19 years,Women,Dec-08,83000
16 to 19 years,Men,Jan-09,135000
16 to 19 years,Women,Jan-09,86000
16 to 19 years,Men,Feb-09,198000
16 to 19 years,Women,Feb-09,85000
16 to 19 years,Men,Mar-09,152000
16 to 19 years,Women,Mar-09,112000
16 to 19 years,Men,Apr-09,213000
16 to 19 years,Women,Apr-09,121000
16 to 19 years,Men,May-09,174000
16 to 19 years,Women,May-09,102000
16 to 19 years,Men,Jun-09,207000
16 to 19 years,Women,Jun-09,118000
16 to 19 years,Men,Jul-09,192000
16 to 19 years,Women,Jul-09,126000
16 to 19 years,Men,Aug-09,180000
16 to 19 years,Women,Aug-09,94000
16 to 19 years,Men,Sep-09,165000
16 to 19 years,Women,Sep-09,99000
16 to 19 years,Men,Oct-09,229000
16 to 19 years,Women,Oct-09,118000
16 to 19 years,Men,Nov-09,228000
16 to 19 years,Women,Nov-09,113000
16 to 19 years,Men,Dec-09,237000
16 to 19 years,Women,Dec-09,136000
16 to 19 years,Men,Jan-10,227000
16 to 19 years,Women,Jan-10,134000
16 to 19 years,Men,Feb-10,228000
16 to 19 years,Women,Feb-10,132000
16 to 19 years,Men,Mar-10,286000
16 to 19 years,Women,Mar-10,152000
16 to 19 years,Men,Apr-10,296000
16 to 19 years,Women,Apr-10,118000
16 to 19 years,Men,May-10,240000
16 to 19 years,Women,May-10,159000
16 to 19 years,Men,Jun-10,280000
16 to 19 years,Women,Jun-10,117000
16 to 19 years,Men,Jul-10,238000
16 to 19 years,Women,Jul-10,152000
16 to 19 years,Men,Aug-10,197000
16 to 19 years,Women,Aug-10,126000
16 to 19 years,Men,Sep-10,158000
16 to 19 years,Women,Sep-10,93000
16 to 19 years,Men,Oct-10,162000
16 to 19 years,Women,Oct-10,144000
16 to 19 years,Men,Nov-10,149000
16 to 19 years,Women,Nov-10,105000
16 to 19 years,Men,Dec-10,149000
16 to 19 years,Women,Dec-10,143000
16 to 19 years,Men,Jan-11,204000
16 to 19 years,Women,Jan-11,148000
16 to 19 years,Men,Feb-11,196000
16 to 19 years,Women,Feb-11,99000
16 to 19 years,Men,Mar-11,205000
16 to 19 years,Women,Mar-11,134000
16 to 19 years,Men,Apr-11,241000
16 to 19 years,Women,Apr-11,115000
16 to 19 years,Men,May-11,196000
16 to 19 years,Women,May-11,162000
16 to 19 years,Men,Jun-11,180000
16 to 19 years,Women,Jun-11,151000
16 to 19 years,Men,Jul-11,164000
16 to 19 years,Women,Jul-11,171000
16 to 19 years,Men,Aug-11,163000
16 to 19 years,Women,Aug-11,195000
16 to 19 years,Men,Sep-11,134000
16 to 19 years,Women,Sep-11,157000
16 to 19 years,Men,Oct-11,146000
16 to 19 years,Women,Oct-11,113000
16 to 19 years,Men,Nov-11,189000
16 to 19 years,Women,Nov-11,111000
16 to 19 years,Men,Dec-11,150000
16 to 19 years,Women,Dec-11,96000
16 to 19 years,Men,Jan-12,200000
16 to 19 years,Women,Jan-12,139000
16 to 19 years,Men,Feb-12,184000
16 to 19 years,Women,Feb-12,136000
16 to 19 years,Men,Mar-12,186000
16 to 19 years,Women,Mar-12,151000
16 to 19 years,Men,Apr-12,180000
16 to 19 years,Women,Apr-12,146000
16 to 19 years,Men,May-12,168000
16 to 19 years,Women,May-12,127000
16 to 19 years,Men,Jun-12,159000
16 to 19 years,Women,Jun-12,118000
16 to 19 years,Men,Jul-12,149000
16 to 19 years,Women,Jul-12,121000
16 to 19 years,Men,Aug-12,121000
16 to 19 years,Women,Aug-12,114000
16 to 19 years,Men,Sep-12,147000
16 to 19 years,Women,Sep-12,82000
16 to 19 years,Men,Oct-12,160000
16 to 19 years,Women,Oct-12,105000
16 to 19 years,Men,Nov-12,192000
16 to 19 years,Women,Nov-12,96000
16 to 19 years,Men,Dec-12,155000
16 to 19 years,Women,Dec-12,69000
16 to 19 years,Men,Jan-13,166000
16 to 19 years,Women,Jan-13,107000
16 to 19 years,Men,Feb-13,202000
16 to 19 years,Women,Feb-13,95000
16 to 19 years,Men,Mar-13,151000
16 to 19 years,Women,Mar-13,103000
16 to 19 years,Men,Apr-13,160000
16 to 19 years,Women,Apr-13,124000
16 to 19 years,Men,May-13,161000
16 to 19 years,Women,May-13,94000
16 to 19 years,Men,Jun-13,146000
16 to 19 years,Women,Jun-13,106000
16 to 19 years,Men,Jul-13,131000
16 to 19 years,Women,Jul-13,79000
16 to 19 years,Men,Aug-13,123000
16 to 19 years,Women,Aug-13,77000
16 to 19 years,Men,Sep-13,141000
16 to 19 years,Women,Sep-13,37000
16 to 19 years,Men,Oct-13,132000
16 to 19 years,Women,Oct-13,73000
16 to 19 years,Men,Nov-13,144000
16 to 19 years,Women,Nov-13,75000
16 to 19 years,Men,Dec-13,106000
16 to 19 years,Women,Dec-13,62000
16 to 19 years,Men,Jan-14,97000
16 to 19 years,Women,Jan-14,88000
16 to 19 years,Men,Feb-14,129000
16 to 19 years,Women,Feb-14,112000
16 to 19 years,Men,Mar-14,136000
16 to 19 years,Women,Mar-14,99000
16 to 19 years,Men,Apr-14,119000
16 to 19 years,Women,Apr-14,88000
16 to 19 years,Men,May-14,84000
16 to 19 years,Women,May-14,75000
16 to 19 years,Men,Jun-14,66000
16 to 19 years,Women,Jun-14,81000
16 to 19 years,Men,Jul-14,98000
16 to 19 years,Women,Jul-14,93000
16 to 19 years,Men,Aug-14,105000
16 to 19 years,Women,Aug-14,68000
16 to 19 years,Men,Sep-14,89000
16 to 19 years,Women,Sep-14,83000
16 to 19 years,Men,Oct-14,84000
16 to 19 years,Women,Oct-14,37000
16 to 19 years,Men,Nov-14,75000
16 to 19 years,Women,Nov-14,62000
16 to 19 years,Men,Dec-14,81000
16 to 19 years,Women,Dec-14,60000
16 to 19 years,Men,Jan-15,85000
16 to 19 years,Women,Jan-15,75000
16 to 19 years,Men,Feb-15,93000
16 to 19 years,Women,Feb-15,80000
20 to 24 years,Men,Jan-05,175000
20 to 24 years,Women,Jan-05,90000
20 to 24 years,Men,Feb-05,154000
20 to 24 years,Women,Feb-05,114000
20 to 24 years,Men,Mar-05,137000
20 to 24 years,Women,Mar-05,113000
20 to 24 years,Men,Apr-05,125000
20 to 24 years,Women,Apr-05,114000
20 to 24 years,Men,May-05,106000
20 to 24 years,Women,May-05,99000
20 to 24 years,Men,Jun-05,109000
20 to 24 years,Women,Jun-05,73000
20 to 24 years,Men,Jul-05,110000
20 to 24 years,Women,Jul-05,72000
20 to 24 years,Men,Aug-05,142000
20 to 24 years,Women,Aug-05,57000
20 to 24 years,Men,Sep-05,127000
20 to 24 years,Women,Sep-05,55000
20 to 24 years,Men,Oct-05,102000
20 to 24 years,Women,Oct-05,56000
20 to 24 years,Men,Nov-05,97000
20 to 24 years,Women,Nov-05,65000
20 to 24 years,Men,Dec-05,93000
20 to 24 years,Women,Dec-05,56000
20 to 24 years,Men,Jan-06,126000
20 to 24 years,Women,Jan-06,27000
20 to 24 years,Men,Feb-06,135000
20 to 24 years,Women,Feb-06,75000
20 to 24 years,Men,Mar-06,140000
20 to 24 years,Women,Mar-06,52000
20 to 24 years,Men,Apr-06,174000
20 to 24 years,Women,Apr-06,71000
20 to 24 years,Men,May-06,125000
20 to 24 years,Women,May-06,54000
20 to 24 years,Men,Jun-06,106000
20 to 24 years,Women,Jun-06,39000
20 to 24 years,Men,Jul-06,93000
20 to 24 years,Women,Jul-06,81000
20 to 24 years,Men,Aug-06,130000
20 to 24 years,Women,Aug-06,63000
20 to 24 years,Men,Sep-06,101000
20 to 24 years,Women,Sep-06,88000
20 to 24 years,Men,Oct-06,92000
20 to 24 years,Women,Oct-06,68000
20 to 24 years,Men,Nov-06,80000
20 to 24 years,Women,Nov-06,82000
20 to 24 years,Men,Dec-06,97000
20 to 24 years,Women,Dec-06,49000
20 to 24 years,Men,Jan-07,87000
20 to 24 years,Women,Jan-07,43000
20 to 24 years,Men,Feb-07,123000
20 to 24 years,Women,Feb-07,45000
20 to 24 years,Men,Mar-07,110000
20 to 24 years,Women,Mar-07,35000
20 to 24 years,Men,Apr-07,99000
20 to 24 years,Women,Apr-07,53000
20 to 24 years,Men,May-07,88000
20 to 24 years,Women,May-07,44000
20 to 24 years,Men,Jun-07,113000
20 to 24 years,Women,Jun-07,44000
20 to 24 years,Men,Jul-07,129000
20 to 24 years,Women,Jul-07,75000
20 to 24 years,Men,Aug-07,150000
20 to 24 years,Women,Aug-07,66000
20 to 24 years,Men,Sep-07,131000
20 to 24 years,Women,Sep-07,73000
20 to 24 years,Men,Oct-07,117000
20 to 24 years,Women,Oct-07,83000
20 to 24 years,Men,Nov-07,88000
20 to 24 years,Women,Nov-07,100000
20 to 24 years,Men,Dec-07,106000
20 to 24 years,Women,Dec-07,80000
20 to 24 years,Men,Jan-08,138000
20 to 24 years,Women,Jan-08,76000
20 to 24 years,Men,Feb-08,146000
20 to 24 years,Women,Feb-08,56000
20 to 24 years,Men,Mar-08,142000
20 to 24 years,Women,Mar-08,52000
20 to 24 years,Men,Apr-08,154000
20 to 24 years,Women,Apr-08,44000
20 to 24 years,Men,May-08,174000
20 to 24 years,Women,May-08,61000
20 to 24 years,Men,Jun-08,160000
20 to 24 years,Women,Jun-08,71000
20 to 24 years,Men,Jul-08,151000
20 to 24 years,Women,Jul-08,85000
20 to 24 years,Men,Aug-08,138000
20 to 24 years,Women,Aug-08,101000
20 to 24 years,Men,Sep-08,169000
20 to 24 years,Women,Sep-08,141000
20 to 24 years,Men,Oct-08,176000
20 to 24 years,Women,Oct-08,104000
20 to 24 years,Men,Nov-08,152000
20 to 24 years,Women,Nov-08,106000
20 to 24 years,Men,Dec-08,216000
20 to 24 years,Women,Dec-08,132000
20 to 24 years,Men,Jan-09,234000
20 to 24 years,Women,Jan-09,123000
20 to 24 years,Men,Feb-09,258000
20 to 24 years,Women,Feb-09,178000
20 to 24 years,Men,Mar-09,288000
20 to 24 years,Women,Mar-09,169000
20 to 24 years,Men,Apr-09,366000
20 to 24 years,Women,Apr-09,167000
20 to 24 years,Men,May-09,366000
20 to 24 years,Women,May-09,212000
20 to 24 years,Men,Jun-09,300000
20 to 24 years,Women,Jun-09,212000
20 to 24 years,Men,Jul-09,416000
20 to 24 years,Women,Jul-09,277000
20 to 24 years,Men,Aug-09,360000
20 to 24 years,Women,Aug-09,242000
20 to 24 years,Men,Sep-09,395000
20 to 24 years,Women,Sep-09,306000
20 to 24 years,Men,Oct-09,400000
20 to 24 years,Women,Oct-09,245000
20 to 24 years,Men,Nov-09,425000
20 to 24 years,Women,Nov-09,297000
20 to 24 years,Men,Dec-09,428000
20 to 24 years,Women,Dec-09,230000
20 to 24 years,Men,Jan-10,542000
20 to 24 years,Women,Jan-10,244000
20 to 24 years,Men,Feb-10,516000
20 to 24 years,Women,Feb-10,231000
20 to 24 years,Men,Mar-10,564000
20 to 24 years,Women,Mar-10,245000
20 to 24 years,Men,Apr-10,653000
20 to 24 years,Women,Apr-10,314000
20 to 24 years,Men,May-10,493000
20 to 24 years,Women,May-10,293000
20 to 24 years,Men,Jun-10,516000
20 to 24 years,Women,Jun-10,301000
20 to 24 years,Men,Jul-10,566000
20 to 24 years,Women,Jul-10,359000
20 to 24 years,Men,Aug-10,505000
20 to 24 years,Women,Aug-10,273000
20 to 24 years,Men,Sep-10,414000
20 to 24 years,Women,Sep-10,252000
20 to 24 years,Men,Oct-10,457000
20 to 24 years,Women,Oct-10,315000
20 to 24 years,Men,Nov-10,440000
20 to 24 years,Women,Nov-10,306000
20 to 24 years,Men,Dec-10,456000
20 to 24 years,Women,Dec-10,297000
20 to 24 years,Men,Jan-11,507000
20 to 24 years,Women,Jan-11,348000
20 to 24 years,Men,Feb-11,460000
20 to 24 years,Women,Feb-11,371000
20 to 24 years,Men,Mar-11,510000
20 to 24 years,Women,Mar-11,329000
20 to 24 years,Men,Apr-11,481000
20 to 24 years,Women,Apr-11,324000
20 to 24 years,Men,May-11,455000
20 to 24 years,Women,May-11,354000
20 to 24 years,Men,Jun-11,451000
20 to 24 years,Women,Jun-11,297000
20 to 24 years,Men,Jul-11,423000
20 to 24 years,Women,Jul-11,312000
20 to 24 years,Men,Aug-11,418000
20 to 24 years,Women,Aug-11,281000
20 to 24 years,Men,Sep-11,443000
20 to 24 years,Women,Sep-11,322000
20 to 24 years,Men,Oct-11,392000
20 to 24 years,Women,Oct-11,329000
20 to 24 years,Men,Nov-11,462000
20 to 24 years,Women,Nov-11,307000
20 to 24 years,Men,Dec-11,474000
20 to 24 years,Women,Dec-11,250000
20 to 24 years,Men,Jan-12,480000
20 to 24 years,Women,Jan-12,239000
20 to 24 years,Men,Feb-12,489000
20 to 24 years,Women,Feb-12,264000
20 to 24 years,Men,Mar-12,439000
20 to 24 years,Women,Mar-12,255000
20 to 24 years,Men,Apr-12,439000
20 to 24 years,Women,Apr-12,215000
20 to 24 years,Men,May-12,475000
20 to 24 years,Women,May-12,246000
20 to 24 years,Men,Jun-12,446000
20 to 24 years,Women,Jun-12,239000
20 to 24 years,Men,Jul-12,435000
20 to 24 years,Women,Jul-12,280000
20 to 24 years,Men,Aug-12,460000
20 to 24 years,Women,Aug-12,296000
20 to 24 years,Men,Sep-12,368000
20 to 24 years,Women,Sep-12,242000
20 to 24 years,Men,Oct-12,348000
20 to 24 years,Women,Oct-12,252000
20 to 24 years,Men,Nov-12,323000
20 to 24 years,Women,Nov-12,269000
20 to 24 years,Men,Dec-12,368000
20 to 24 years,Women,Dec-12,262000
20 to 24 years,Men,Jan-13,436000
20 to 24 years,Women,Jan-13,264000
20 to 24 years,Men,Feb-13,405000
20 to 24 years,Women,Feb-13,256000
20 to 24 years,Men,Mar-13,381000
20 to 24 years,Women,Mar-13,278000
20 to 24 years,Men,Apr-13,363000
20 to 24 years,Women,Apr-13,262000
20 to 24 years,Men,May-13,380000
20 to 24 years,Women,May-13,238000
20 to 24 years,Men,Jun-13,418000
20 to 24 years,Women,Jun-13,253000
20 to 24 years,Men,Jul-13,377000
20 to 24 years,Women,Jul-13,239000
20 to 24 years,Men,Aug-13,393000
20 to 24 years,Women,Aug-13,239000
20 to 24 years,Men,Sep-13,403000
20 to 24 years,Women,Sep-13,211000
20 to 24 years,Men,Oct-13,319000
20 to 24 years,Women,Oct-13,210000
20 to 24 years,Men,Nov-13,289000
20 to 24 years,Women,Nov-13,197000
20 to 24 years,Men,Dec-13,307000
20 to 24 years,Women,Dec-13,217000
20 to 24 years,Men,Jan-14,339000
20 to 24 years,Women,Jan-14,222000
20 to 24 years,Men,Feb-14,366000
20 to 24 years,Women,Feb-14,184000
20 to 24 years,Men,Mar-14,378000
20 to 24 years,Women,Mar-14,224000
20 to 24 years,Men,Apr-14,325000
20 to 24 years,Women,Apr-14,165000
20 to 24 years,Men,May-14,302000
20 to 24 years,Women,May-14,141000
20 to 24 years,Men,Jun-14,285000
20 to 24 years,Women,Jun-14,130000
20 to 24 years,Men,Jul-14,277000
20 to 24 years,Women,Jul-14,140000
20 to 24 years,Men,Aug-14,254000
20 to 24 years,Women,Aug-14,136000
20 to 24 years,Men,Sep-14,266000
20 to 24 years,Women,Sep-14,116000
20 to 24 years,Men,Oct-14,241000
20 to 24 years,Women,Oct-14,197000
20 to 24 years,Men,Nov-14,226000
20 to 24 years,Women,Nov-14,174000
20 to 24 years,Men,Dec-14,201000
20 to 24 years,Women,Dec-14,182000
20 to 24 years,Men,Jan-15,241000
20 to 24 years,Women,Jan-15,143000
20 to 24 years,Men,Feb-15,255000
20 to 24 years,Women,Feb-15,141000
25 to 34 years,Men,Jan-05,194000
25 to 34 years,Women,Jan-05,142000
25 to 34 years,Men,Feb-05,176000
25 to 34 years,Women,Feb-05,119000
25 to 34 years,Men,Mar-05,195000
25 to 34 years,Women,Mar-05,102000
25 to 34 years,Men,Apr-05,191000
25 to 34 years,Women,Apr-05,151000
25 to 34 years,Men,May-05,183000
25 to 34 years,Women,May-05,149000
25 to 34 years,Men,Jun-05,162000
25 to 34 years,Women,Jun-05,114000
25 to 34 years,Men,Jul-05,139000
25 to 34 years,Women,Jul-05,156000
25 to 34 years,Men,Aug-05,141000
25 to 34 years,Women,Aug-05,151000
25 to 34 years,Men,Sep-05,161000
25 to 34 years,Women,Sep-05,163000
25 to 34 years,Men,Oct-05,152000
25 to 34 years,Women,Oct-05,150000
25 to 34 years,Men,Nov-05,137000
25 to 34 years,Women,Nov-05,140000
25 to 34 years,Men,Dec-05,164000
25 to 34 years,Women,Dec-05,131000
25 to 34 years,Men,Jan-06,141000
25 to 34 years,Women,Jan-06,92000
25 to 34 years,Men,Feb-06,190000
25 to 34 years,Women,Feb-06,132000
25 to 34 years,Men,Mar-06,134000
25 to 34 years,Women,Mar-06,137000
25 to 34 years,Men,Apr-06,155000
25 to 34 years,Women,Apr-06,135000
25 to 34 years,Men,May-06,137000
25 to 34 years,Women,May-06,146000
25 to 34 years,Men,Jun-06,134000
25 to 34 years,Women,Jun-06,123000
25 to 34 years,Men,Jul-06,133000
25 to 34 years,Women,Jul-06,115000
25 to 34 years,Men,Aug-06,114000
25 to 34 years,Women,Aug-06,102000
25 to 34 years,Men,Sep-06,113000
25 to 34 years,Women,Sep-06,120000
25 to 34 years,Men,Oct-06,118000
25 to 34 years,Women,Oct-06,85000
25 to 34 years,Men,Nov-06,129000
25 to 34 years,Women,Nov-06,77000
25 to 34 years,Men,Dec-06,102000
25 to 34 years,Women,Dec-06,95000
25 to 34 years,Men,Jan-07,138000
25 to 34 years,Women,Jan-07,126000
25 to 34 years,Men,Feb-07,153000
25 to 34 years,Women,Feb-07,127000
25 to 34 years,Men,Mar-07,168000
25 to 34 years,Women,Mar-07,135000
25 to 34 years,Men,Apr-07,191000
25 to 34 years,Women,Apr-07,138000
25 to 34 years,Men,May-07,172000
25 to 34 years,Women,May-07,119000
25 to 34 years,Men,Jun-07,140000
25 to 34 years,Women,Jun-07,94000
25 to 34 years,Men,Jul-07,112000
25 to 34 years,Women,Jul-07,128000
25 to 34 years,Men,Aug-07,119000
25 to 34 years,Women,Aug-07,125000
25 to 34 years,Men,Sep-07,140000
25 to 34 years,Women,Sep-07,115000
25 to 34 years,Men,Oct-07,100000
25 to 34 years,Women,Oct-07,104000
25 to 34 years,Men,Nov-07,149000
25 to 34 years,Women,Nov-07,129000
25 to 34 years,Men,Dec-07,147000
25 to 34 years,Women,Dec-07,108000
25 to 34 years,Men,Jan-08,169000
25 to 34 years,Women,Jan-08,93000
25 to 34 years,Men,Feb-08,121000
25 to 34 years,Women,Feb-08,107000
25 to 34 years,Men,Mar-08,145000
25 to 34 years,Women,Mar-08,124000
25 to 34 years,Men,Apr-08,165000
25 to 34 years,Women,Apr-08,137000
25 to 34 years,Men,May-08,180000
25 to 34 years,Women,May-08,148000
25 to 34 years,Men,Jun-08,210000
25 to 34 years,Women,Jun-08,132000
25 to 34 years,Men,Jul-08,193000
25 to 34 years,Women,Jul-08,163000
25 to 34 years,Men,Aug-08,222000
25 to 34 years,Women,Aug-08,204000
25 to 34 years,Men,Sep-08,249000
25 to 34 years,Women,Sep-08,177000
25 to 34 years,Men,Oct-08,281000
25 to 34 years,Women,Oct-08,222000
25 to 34 years,Men,Nov-08,316000
25 to 34 years,Women,Nov-08,202000
25 to 34 years,Men,Dec-08,323000
25 to 34 years,Women,Dec-08,165000
25 to 34 years,Men,Jan-09,331000
25 to 34 years,Women,Jan-09,209000
25 to 34 years,Men,Feb-09,363000
25 to 34 years,Women,Feb-09,209000
25 to 34 years,Men,Mar-09,406000
25 to 34 years,Women,Mar-09,242000
25 to 34 years,Men,Apr-09,506000
25 to 34 years,Women,Apr-09,318000
25 to 34 years,Men,May-09,537000
25 to 34 years,Women,May-09,377000
25 to 34 years,Men,Jun-09,553000
25 to 34 years,Women,Jun-09,382000
25 to 34 years,Men,Jul-09,730000
25 to 34 years,Women,Jul-09,480000
25 to 34 years,Men,Aug-09,734000
25 to 34 years,Women,Aug-09,492000
25 to 34 years,Men,Sep-09,764000
25 to 34 years,Women,Sep-09,510000
25 to 34 years,Men,Oct-09,738000
25 to 34 years,Women,Oct-09,550000
25 to 34 years,Men,Nov-09,787000
25 to 34 years,Women,Nov-09,481000
25 to 34 years,Men,Dec-09,810000
25 to 34 years,Women,Dec-09,463000
25 to 34 years,Men,Jan-10,913000
25 to 34 years,Women,Jan-10,535000
25 to 34 years,Men,Feb-10,951000
25 to 34 years,Women,Feb-10,455000
25 to 34 years,Men,Mar-10,999000
25 to 34 years,Women,Mar-10,522000
25 to 34 years,Men,Apr-10,956000
25 to 34 years,Women,Apr-10,608000
25 to 34 years,Men,May-10,"1,011,000"
25 to 34 years,Women,May-10,631000
25 to 34 years,Men,Jun-10,931000
25 to 34 years,Women,Jun-10,578000
25 to 34 years,Men,Jul-10,814000
25 to 34 years,Women,Jul-10,630000
25 to 34 years,Men,Aug-10,789000
25 to 34 years,Women,Aug-10,579000
25 to 34 years,Men,Sep-10,815000
25 to 34 years,Women,Sep-10,615000
25 to 34 years,Men,Oct-10,718000
25 to 34 years,Women,Oct-10,601000
25 to 34 years,Men,Nov-10,739000
25 to 34 years,Women,Nov-10,578000
25 to 34 years,Men,Dec-10,750000
25 to 34 years,Women,Dec-10,576000
25 to 34 years,Men,Jan-11,803000
25 to 34 years,Women,Jan-11,525000
25 to 34 years,Men,Feb-11,812000
25 to 34 years,Women,Feb-11,542000
25 to 34 years,Men,Mar-11,849000
25 to 34 years,Women,Mar-11,514000
25 to 34 years,Men,Apr-11,866000
25 to 34 years,Women,Apr-11,571000
25 to 34 years,Men,May-11,857000
25 to 34 years,Women,May-11,559000
25 to 34 years,Men,Jun-11,749000
25 to 34 years,Women,Jun-11,599000
25 to 34 years,Men,Jul-11,761000
25 to 34 years,Women,Jul-11,688000
25 to 34 years,Men,Aug-11,682000
25 to 34 years,Women,Aug-11,645000
25 to 34 years,Men,Sep-11,727000
25 to 34 years,Women,Sep-11,713000
25 to 34 years,Men,Oct-11,682000
25 to 34 years,Women,Oct-11,670000
25 to 34 years,Men,Nov-11,649000
25 to 34 years,Women,Nov-11,596000
25 to 34 years,Men,Dec-11,699000
25 to 34 years,Women,Dec-11,580000
25 to 34 years,Men,Jan-12,690000
25 to 34 years,Women,Jan-12,559000
25 to 34 years,Men,Feb-12,626000
25 to 34 years,Women,Feb-12,522000
25 to 34 years,Men,Mar-12,716000
25 to 34 years,Women,Mar-12,481000
25 to 34 years,Men,Apr-12,645000
25 to 34 years,Women,Apr-12,523000
25 to 34 years,Men,May-12,606000
25 to 34 years,Women,May-12,548000
25 to 34 years,Men,Jun-12,581000
25 to 34 years,Women,Jun-12,553000
25 to 34 years,Men,Jul-12,536000
25 to 34 years,Women,Jul-12,526000
25 to 34 years,Men,Aug-12,504000
25 to 34 years,Women,Aug-12,481000
25 to 34 years,Men,Sep-12,560000
25 to 34 years,Women,Sep-12,516000
25 to 34 years,Men,Oct-12,617000
25 to 34 years,Women,Oct-12,521000
25 to 34 years,Men,Nov-12,538000
25 to 34 years,Women,Nov-12,482000
25 to 34 years,Men,Dec-12,526000
25 to 34 years,Women,Dec-12,444000
25 to 34 years,Men,Jan-13,528000
25 to 34 years,Women,Jan-13,436000
25 to 34 years,Men,Feb-13,561000
25 to 34 years,Women,Feb-13,431000
25 to 34 years,Men,Mar-13,511000
25 to 34 years,Women,Mar-13,414000
25 to 34 years,Men,Apr-13,544000
25 to 34 years,Women,Apr-13,413000
25 to 34 years,Men,May-13,478000
25 to 34 years,Women,May-13,386000
25 to 34 years,Men,Jun-13,488000
25 to 34 years,Women,Jun-13,427000
25 to 34 years,Men,Jul-13,492000
25 to 34 years,Women,Jul-13,507000
25 to 34 years,Men,Aug-13,594000
25 to 34 years,Women,Aug-13,458000
25 to 34 years,Men,Sep-13,479000
25 to 34 years,Women,Sep-13,421000
25 to 34 years,Men,Oct-13,437000
25 to 34 years,Women,Oct-13,445000
25 to 34 years,Men,Nov-13,549000
25 to 34 years,Women,Nov-13,435000
25 to 34 years,Men,Dec-13,514000
25 to 34 years,Women,Dec-13,370000
